Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
14,avg-run,10000,TRUE,uniform,UPDATE,64,9632.24,0.5,0.5,0,0,0,7348,13609.14535,0,NaN,9.22E+18,0,0,0,49800
15,extend,10000,TRUE,uniform,EXTEND,59.3,9594.56,0,0,0,0,1,1419781,352.1669891,500000,2836.081066,373,468479,10199,21135,500000
15,run,10000,TRUE,uniform,READ,58.9,9883.98,0.5,0.5,0,0,0,156335,639.6520293,49901,470.2430412,168,171391,634,1104,49901
15,run,10000,TRUE,uniform,UPDATE,58.9,9883.98,0.5,0.5,0,0,0,156335,639.6520293,50099,2637.474041,223,1067007,12199,17343,50099
15,reference,10000,TRUE,uniform,READ,58.5,10383.5,0.5,0.5,0,0,0,159615,626.5075338,50313,520.37859,165,106175,635,4235,50313
15,reference,10000,TRUE,uniform,UPDATE,58.5,10383.5,0.5,0.5,0,0,0,159615,626.5075338,49687,2670.274378,219,414975,12119,17743,49687
15,clean-run,10000,TRUE,uniform,READ,57.9,10359.1,0.5,0.5,0,0,0,179523,557.0316895,50056,580.0927361,192,150143,649,1506,50056
15,clean-run,10000,TRUE,uniform,UPDATE,57.9,10359.1,0.5,0.5,0,0,0,179523,557.0316895,49944,2997.846328,229,1461247,12839,24303,49944
15,avg-run,10000,TRUE,uniform,READ,57.9,10347.3,0.5,0.5,0,0,0,7213,13863.85692,0,NaN,9.22E+18,0,0,0,49917
15,avg-run,10000,TRUE,uniform,UPDATE,57.9,10347.3,0.5,0.5,0,0,0,7213,13863.85692,0,NaN,9.22E+18,0,0,0,50083
16,extend,10000,TRUE,uniform,EXTEND,53.9,10278,0,0,0,0,1,1718615,290.9319423,500000,3433.552682,414,792063,10735,30783,500000
16,run,10000,TRUE,uniform,READ,53.6,10678.1,0.5,0.5,0,0,0,187363,533.7233072,50074,566.4611775,198,309503,677,1210,50074
16,run,10000,TRUE,uniform,UPDATE,53.6,10678.1,0.5,0.5,0,0,0,187363,533.7233072,49926,3169.177723,256,408831,12927,22991,49926
16,reference,10000,TRUE,uniform,READ,53.2,10990.2,0.5,0.5,0,0,0,197688,505.8475982,49990,724.8770554,181,150271,735,12743,49990
16,reference,10000,TRUE,uniform,UPDATE,53.2,10990.2,0.5,0.5,0,0,0,197688,505.8475982,50010,3213.378724,250,440575,14863,24111,50010
16,clean-run,10000,TRUE,uniform,READ,52.7,11014.4,0.5,0.5,0,0,0,215818,463.3533811,50078,755.0785774,218,335103,712,7099,50078
